"In Stock Notifications","In Stock Notifications"
"General Options","General Options"
"Allow not logged in customers","Allow not logged in customers"
"Notification Email Template","Notification Email Template"
"Customer Id","Customer Id"
"Product SKU","Product SKU"
"Customer Email","Customer Email"
"Date/Time","Date/Time"
"Notification Status","Notification Status"
"CSV","CSV"
"Excel XML","Excel XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Please select notification(s)","Please select notification(s)"
"Total of %d record(s) were deleted","Total of %d record(s) were deleted"